ID,Name,Slug,Link
2,Point-and-click,point-and-click,https://www.igdb.com/genres/point-and-click
4,Fighting,fighting,https://www.igdb.com/genres/fighting
5,Shooter,shooter,https://www.igdb.com/genres/shooter
7,Music,music,https://www.igdb.com/genres/music
8,Platform,platform,https://www.igdb.com/genres/platform
9,Puzzle,puzzle,https://www.igdb.com/genres/puzzle
10,Racing,racing,https://www.igdb.com/genres/racing
11,Real Time Strategy (RTS),real-time-strategy-rts,https://www.igdb.com/genres/real-time-strategy-rts
12,Role-playing (RPG),role-playing-rpg,https://www.igdb.com/genres/role-playing-rpg
13,Simulator,simulator,https://www.igdb.com/genres/simulator
14,Sport,sport,https://www.igdb.com/genres/sport
15,Strategy,strategy,https://www.igdb.com/genres/strategy
16,Turn-based strategy (TBS),turn-based-strategy-tbs,https://www.igdb.com/genres/turn-based-strategy-tbs
24,Tactical,tactical,https://www.igdb.com/genres/tactical
25,Hack and slash/Beat 'em up,hack-and-slash-beat-em-up,https://www.igdb.com/genres/hack-and-slash-beat-em-up
26,Quiz/Trivia,quiz-trivia,https://www.igdb.com/genres/quiz-trivia
30,Pinball,pinball,https://www.igdb.com/genres/pinball
31,Adventure,adventure,https://www.igdb.com/genres/adventure
32,Indie,indie,https://www.igdb.com/genres/indie
33,Arcade,arcade,https://www.igdb.com/genres/arcade
34,Visual Novel,visual-novel,https://www.igdb.com/genres/visual-novel
35,Card & Board Game,card-and-board-game,https://www.igdb.com/genres/card-and-board-game
36,MOBA,moba,https://www.igdb.com/genres/moba
